,time,rho,Isolation Forest,SVM,Autoencoder,Voted,mean
723,80,4,0,1,0,0,6.58
724,80,5,1,1,0,1,4.72
725,80,6,0,1,0,0,2.6
726,80,7,0,1,0,0,1.31
727,80,8,0,1,0,0,0.73
728,80,9,0,0,0,0,0.15
729,81,1,0,0,0,0,9.47
730,81,2,0,0,0,0,8.34
731,81,3,0,0,0,0,7.69
732,81,4,0,1,0,0,6.87
733,81,5,1,1,0,1,5.07
734,81,6,1,1,0,1,2.99
735,81,7,0,1,0,0,1.49
736,81,8,0,0,0,0,0.75
737,81,9,0,0,0,0,0.25
738,82,1,0,1,0,0,9.32
739,82,2,0,0,0,0,8.27
740,82,3,0,0,0,0,7.67
741,82,4,0,0,0,0,6.84
742,82,5,0,1,0,0,5.21
743,82,6,0,1,0,0,3.26
744,82,7,0,1,0,0,1.78
745,82,8,0,1,0,0,1.12
746,82,9,0,1,0,0,0.54
747,83,1,0,0,0,0,9.44
748,83,2,0,0,0,0,8.33
749,83,3,0,0,0,0,7.62
750,83,4,0,0,0,0,6.69
751,83,5,0,0,0,0,5.08
752,83,6,0,1,0,0,3.41
753,83,7,0,1,0,0,1.8
754,83,8,0,0,0,0,0.84
755,83,9,0,0,0,0,0.27
756,84,1,0,0,0,0,9.39
757,84,2,0,0,0,0,8.24
758,84,3,0,0,0,0,7.63
759,84,4,0,0,0,0,6.94
760,84,5,0,0,0,0,5.36
